"","Date","Region","Thermal.Generation.Actual..in.MU.","Hydro.Generation.Actual..in.MU."
"454",2017-12-01,"Eastern",472.6,22.6
"455",2017-12-01,"NorthEastern",29.14,12.11
"456",2017-12-02,"Northern",607.5,105.23
"457",2017-12-02,"Western",1067.74,42.27
"458",2017-12-02,"Southern",605.43,69.72
"459",2017-12-02,"Eastern",472.6,22.6
"460",2017-12-02,"NorthEastern",29.14,12.11
"461",2017-12-03,"Northern",607.5,105.23
"462",2017-12-03,"Western",1067.74,42.27
"463",2017-12-03,"Southern",609.5,69.72
"464",2017-12-03,"Eastern",470.05,22.6
"465",2017-12-03,"NorthEastern",29.14,12.11
"466",2017-12-04,"Northern",620.86,105.23
"467",2017-12-04,"Western",1067.74,42.27
"468",2017-12-04,"Southern",609.5,69.72
"469",2017-12-04,"Eastern",470.05,22.6
"470",2017-12-04,"NorthEastern",29.14,12.11
"471",2017-12-05,"Northern",620.86,105.23
"472",2017-12-05,"Western",1069.81,42.27
"473",2017-12-05,"Southern",597.93,69.72
"474",2017-12-05,"Eastern",470.05,22.6
"475",2017-12-05,"NorthEastern",29.14,12.11
"476",2017-12-06,"Northern",633.15,105.23
"477",2017-12-06,"Western",1070.96,42.27
"478",2017-12-06,"Southern",599.39,69.72
"479",2017-12-06,"Eastern",474.7,22.6
"480",2017-12-06,"NorthEastern",29.14,12.11
"481",2017-12-07,"Northern",633.15,105.23
"482",2017-12-07,"Western",1070.96,42.27
"483",2017-12-07,"Southern",599.39,69.72
"484",2017-12-07,"Eastern",474.7,22.6
"485",2017-12-07,"NorthEastern",29.14,12.11
"486",2017-12-08,"Northern",633.15,105.23
"487",2017-12-08,"Western",1070.96,42.27
"488",2017-12-08,"Southern",599.39,69.72
"489",2017-12-08,"Eastern",474.7,22.6
"490",2017-12-08,"NorthEastern",29.14,12.11
"491",2017-12-09,"Northern",633.15,105.23
"492",2017-12-09,"Western",1070.96,42.27
"493",2017-12-09,"Southern",594.99,69.72
"494",2017-12-09,"Eastern",474.7,22.6
"495",2017-12-09,"NorthEastern",29.14,12.11
"496",2017-12-10,"Northern",623.9,105.23
"497",2017-12-10,"Western",1073.05,42.27
"498",2017-12-10,"Southern",594.99,69.72
"499",2017-12-10,"Eastern",474.7,22.6
"500",2017-12-10,"NorthEastern",29.14,12.11
"501",2017-12-11,"Northern",623.9,105.23
"502",2017-12-11,"Western",1073.05,42.27
"503",2017-12-11,"Southern",599.23,69.72
"504",2017-12-11,"Eastern",474.7,22.6
"505",2017-12-11,"NorthEastern",29.14,12.11
"506",2017-12-12,"Northern",623.9,105.23
"507",2017-12-12,"Western",1070.76,42.27
"508",2017-12-12,"Southern",598.32,69.72
"509",2017-12-12,"Eastern",469.41,22.6
"510",2017-12-12,"NorthEastern",29.14,12.11
"511",2017-12-13,"Northern",634.95,105.23
"512",2017-12-13,"Western",1070.76,42.27
"513",2017-12-13,"Southern",598.32,69.72
"514",2017-12-13,"Eastern",469.41,22.6
"515",2017-12-13,"NorthEastern",29.14,12.11
"516",2017-12-14,"Northern",636.29,105.23
"517",2017-12-14,"Western",1079.98,42.27
"518",2017-12-14,"Southern",598.32,69.72
"519",2017-12-14,"Eastern",469.41,22.6
"520",2017-12-14,"NorthEastern",29.14,12.11
"521",2017-12-15,"Northern",624.65,105.23
"522",2017-12-15,"Western",1079.98,42.27
"523",2017-12-15,"Southern",598.32,69.72
"524",2017-12-15,"Eastern",465.98,22.6
"525",2017-12-15,"NorthEastern",29.14,12.11
"526",2017-12-16,"Northern",625.32,105.23
"527",2017-12-16,"Western",1079.98,42.27
"528",2017-12-16,"Southern",614.83,69.72
"529",2017-12-16,"Eastern",465.98,22.6
"530",2017-12-16,"NorthEastern",29.14,12.11
"531",2017-12-17,"Northern",625.32,105.23
"532",2017-12-17,"Western",1079.98,42.27
"533",2017-12-17,"Southern",614.83,69.72
"534",2017-12-17,"Eastern",461.9,22.6
"535",2017-12-17,"NorthEastern",29.14,12.11
"536",2017-12-18,"Northern",625.32,105.23
"537",2017-12-18,"Western",1079.98,42.27
"538",2017-12-18,"Southern",615.76,69.72
"539",2017-12-18,"Eastern",464.4,22.6
"540",2017-12-18,"NorthEastern",29.14,12.11
"541",2017-12-19,"Northern",625.32,105.23
"542",2017-12-19,"Western",1079.98,42.27
"543",2017-12-19,"Southern",615.76,69.72
"544",2017-12-19,"Eastern",464.19,22.6
"545",2017-12-19,"NorthEastern",29.14,12.11
"546",2017-12-20,"Northern",625.32,105.23
"547",2017-12-20,"Western",1074.69,42.27
"548",2017-12-20,"Southern",623.26,69.72
"549",2017-12-20,"Eastern",464.19,22.6
"550",2017-12-20,"NorthEastern",29.14,12.11
"551",2017-12-21,"Northern",625.32,105.23
"552",2017-12-21,"Western",1080.14,42.27
"553",2017-12-21,"Southern",627.22,69.72
"554",2017-12-21,"Eastern",464.19,22.6
"555",2017-12-21,"NorthEastern",29.14,12.11
"556",2017-12-22,"Northern",627.92,105.23
"557",2017-12-22,"Western",1082.43,42.27
"558",2017-12-22,"Southern",627.22,69.72
"559",2017-12-22,"Eastern",464.19,22.6
"560",2017-12-22,"NorthEastern",29.14,12.11
"561",2017-12-23,"Northern",627.92,105.23
"562",2017-12-23,"Western",1082.43,42.27
"563",2017-12-23,"Southern",627.22,69.72
"564",2017-12-23,"Eastern",466.74,22.6
"565",2017-12-23,"NorthEastern",29.14,12.11
"566",2017-12-24,"Northern",627.92,105.23
"567",2017-12-24,"Western",1082.43,42.27
"568",2017-12-24,"Southern",627.22,69.72
"569",2017-12-24,"Eastern",462.04,22.6
